Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation
USA;CA;2014;12;Male;16.0;Right-Handed;182,8;24;150;2;Walk;5;.294;30;Other;0;0.0;0.0;0.0;1000.0;1000.0;24;Same length;70;70;Ring finger;December;Winter;Yes;No;Seafood;Milk;Science;6;8;3.0;Yes - broadband connection;Text messaging;0;0;5;1;10;5;0;0;0;1;10;0;0;1;Some;Graduate degree;Rap/Hip hop;Freeze time;Happy;Relative;Health
USA;CA;2015;11;Male;17.0;Left-Handed;140;39;163;2;Car;10;0.956;71;Football (American);1000;1000.0;1000.0;1000.0;500.0;1000.0;29;Same length;8;7;Index finger;June;Winter;No;No;Meat;Water;History;8;7;11.0;Yes - broadband connection;Text messaging;50;70;5;1;2;6;2;2;1;1;1;1;0;1;Some;Some college;Heavy metal;Freeze time;Healthy;Other;Education/Youth development
USA;CA;2014;7;Female;12.0;Right-Handed;162;23;131;2;Car;20;0.486;41;Swimming;0;300.0;800.0;400.0;180.0;250.0;23;Same length;55;70;Ring finger;March;Summer;No;No;Meat;Water;Music;9;10;4.0;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;5;11;5;2;10;1;5;8;8;8;8;8;2;3;A lot;Graduate degree;Other;Freeze time;Famous;Other;Wildlife, animals
USA;CA;2021;12;Female;17.0;Right-Handed;170;22;170;2;Car;10;0.372;37;Soccer;1000;1000.0;600.0;200.0;800.0;800.0;23;Same length;7;8;Ring finger;July;Summer;No;No;Desserts;Tea;English;9;9;3.0;Yes - broadband connection;In person;7;9;2;2;10;12;5;0;0;1;10;4;7;5;Some;Graduate degree;Classical;Fly;Happy;Other;Wildlife, animals
USA;CA;2019;12;Female;17.0;Left-Handed;165;21;150;1;Car;15;.47;41;Athletics;700;800.0;800.0;900.0;600.0;900.0;22;Left foot;90;60;Index finger;July;Summer;No;No;Rice/Noodle dishes;Water;History;6;10;4.0;Yes - broadband connection;In person;702;850;30;5;20;10;5;0;35;15;10;0;0;0;A lot;Graduate degree;Rap/Hip hop;Telepathy;Happy;Relative;International aid
USA;CA;2014;12;Female;16.0;Right-Handed;157;24;162;2;Car;7;0.569;61;Swimming;800;700.0;800.0;1000.0;900.0;1000.0;24;Same length;70;70;Ring finger;April;Winter;No;No;Meat;Water;History;7;10;116.64806378132118;Yes - broadband connection;Text messaging;0;0;5;1;10;5;0;0;0;1;10;0;0;1;Some;Graduate degree;Rap/Hip hop;Freeze time;Happy;Relative;Health
USA;CA;2013;12;Female;17.0;Right-Handed;163;24;154;2;Car;20;0.496;39;Swimming;1000;1000.0;500.0;600.0;1000.0;1000.0;24;Same length;65;72;Ring finger;April;Winter;No;No;Meat;Soft drink (non-caffeinated);Mathematics and statistics;6;10;4.0;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;0;0;5;0;24;0;0;10;16;0;16;0;0;2;A lot;Graduate degree;Pop;Telepathy;Rich;Teacher;International aid
USA;CA;2018;8;Female;13.0;Left-Handed;167;22;168;2;Car;5;0.39;50;Baseball/Softball;90;70.0;70.0;70.0;50.0;60.0;23;Left foot;82;80;Index finger;April;Summer;Yes;No;Meat;Water;History;8;9;4.0;Yes - broadband connection;Text messaging;5;10;24;8;14;40;13;20;9;5;20;15;0;6;A lot;Graduate degree;Pop;Fly;Happy;Relative;International aid
USA;CA;2023;12;Male;16.0;Right-Handed;163;25;167;1;Car;25;0.356;47;Tennis;845;690.0;567.0;765.0;380.0;952.0;26;Left foot;105;110;Ring finger;October;Winter;No;No;Seafood;Water;Science;8;8;5.0;Yes - other;Myspace, Facebook, other social networking sites, or blog;5;30;15;4;10;10;8;5;0;4;20;1;0;10;Very little;Graduate degree;Rap/Hip hop;Freeze time;Healthy;Friend;Health
USA;CA;2021;12;Male;16.0;Right-Handed;164,59;25.4;150;2;Walk;20;0.344;60;Martial Arts;1000;1000.0;900.0;800.0;700.0;700.0;25.4;Same length;80;70;Index finger;November;Winter;Yes;No;Meat;Powdered drink;Social studies;4;4;4.0;Yes - broadband connection;In person;13;30;8;8;100;12;4;30;90;4;150;1;25;25;A lot;Graduate degree;Rap/Hip hop;Telepathy;Happy;Relative;Health
