Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation;;
USA;CA;2019;12;Male;17;Right-Handed;171,2;28.5;157;2;Car;55;0.458;53;Soccer;588;428;1000;1000;86;900;;Same length;;;;May;Winter;Yes;No;Meat;Water;Music;7;9;3;Yes - other;Myspace, Facebook, other social networking sites, or blog;a lot;a lot;8;0;3;6;6;5;7;5;6;6;3;4;Very little;Graduate degree;Rap/Hip hop;Telepathy;Famous;Musician or singer;Environment;;
USA;CA;2023;7;Female;12;Right-Handed;156;15;169;3;Bus;20;347;54;Football (American);10000;500;300;400;70000;100;16;Left foot;20;15;;October;Winter;Yes;No;No favorite;Other;History;7;8;4;Yes - other;Cell phone;10;20;4;5;2;1000;1;1;3;7;2;10;4;10;A lot;Other;Rap/Hip hop;Telepathy;Happy;Musician or singer;Health;;
USA;CA;2016;12;Male;17;Right-Handed;73;25;172;2;Bus;20;0.346;50;Walking/Hiking;500;400;200;200;700;900;24;Right foot;9;7.5;Index finger;January;Fall;No;No;Meat;Water;Mathematics and statistics;6;10;3;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;50;50;20;1;15;5;0;40;20;2;40;2;10;0;A lot;Graduate degree;Rhythm and blues (R&B);Invisibility;Rich;Business person;Health;;
USA;CA;2017;12;Female;16;Right-Handed;162,6;25;142;2;Car;10;.526;40;Baseball/Softball;30;20;20;20;90;80;25;Same length;65;70;Ring finger;November;Winter;No;No;Fruit;Powdered drink;Mathematics and statistics;7;5;4;Yes - broadband connection;Text messaging;50;45;40;1;28;21;15;0;28;30;30;30;0;0;A lot;Other;Rhythm and blues (R&B);Telepathy;Happy;Relative;Education/Youth development;;
USA;CA;2019;12;Female;16;Right-Handed;171;26.5;177;1.5;Car;18;.371;55;Dancing;789;678;750;900;500;955;26;Right foot;71;78;Ring finger;February;Winter;Yes;No;Pizza/Pasta;Coffee;Other;5;8;3;Yes - other;In person;16;19;8;0;10;0;1;3;3;1;3;5;5;1;A lot;Undergraduate degree;Jazz;Fly;Happy;Actor;International aid;;
USA;CA;2018;12;Female;17;Right-Handed;173;18;150;2;Car;10;.763;50;Athletics;500;200;600;500;100;700;17;Right foot;63;76;Ring finger;April;Winter;No;No;Seafood;Water;Science;8;10;4;Yes - broadband connection;Cell phone;300;500;80;20;10;50;30;2;60;20;15;50;15;5;Some;Graduate degree;Pop;Telepathy;Rich;Doctor or nurse;Health;;
USA;CA;2016;12;Female;16;Right-Handed;175;25;180;1;Car;8;.433;31;Lacrosse;800;800;800;500;700;700;175;Same length;;76;Index finger;November;Winter;Yes;No;Seafood;Water;Science;6;10;3;Yes - broadband connection;Text messaging;40;700;15;1;20;3;2;0;3;5;12;10;8;0;Some;Graduate degree;Rap/Hip hop;Fly;Happy;Business person;Wildlife, animals;;
USA;CA;2019;12;Female;17;Right-Handed;154;24;164;3;Car;15;0.5;42;Tennis;1000;600;900;700;500;400;24;Same length;65;66;Ring finger;September;Summer;No;No;Rice/Noodle dishes;Water;History;5;8;9;Yes - broadband connection;In person;0;0;6;1;21;56;0;7;26;1;2;7;0;14;A lot;Graduate degree;Rhythm and blues (R&B);Invisibility;Rich;Relative;Environment;;
USA;CA;2015;6;Female;11;Ambidextrous;62;22;58;2;Walk;15;287;52;Football (American);;;;;;;28;Right foot;3;3;Index finger;January;Fall;Yes;No;Meat;Water;Mathematics and statistics;9;5;5;Yes - dial-up connection;Text messaging;100;93;;;;;;;;;;;;;A lot;High school;Rap/Hip hop;Freeze time;Famous;Other;Health;;
USA;CA;2022;11;Female;16;Right-Handed;161,54;;;2;Walk;10;;66;Football (American);;;;;;;7-may;Same length;6;7;Ring finger;August;Winter;No;No;Seafood;Soft drink (non-caffeinated);History;3-jun;3;;;;;;;;;;;;;;;;;;;;;;;;;;
